player_id,name,span,bating_style,playing_role,country,matches,innings,runs,strike_rate,average_score,not_out,100s,50,4s,6s,years_played,batting_score,Runs_per_year,Runs_per_inning,Runs_by_6s,6s_runs_percentage,Runs_by_4s,4s_runs_percentage
326016,B Kumar,2012-2022,right-hand bat,bowler,India,121,55.0,552.0,73.89,14.15,16.0,0.0,1.0,46.0,8.0,10,23.751556110858697,55.2,10.036363636363637,48.0,8.695652173913043,184.0,33.33333333333333
481896,Mohammed Shami,2013-2023,right-hand bat,bowler,India,87,41.0,190.0,83.33,8.63,19.0,0.0,0.0,14.0,8.0,10,15.640232709873858,19.0,4.634146341463414,48.0,25.263157894736842,56.0,29.47368421052631
625371,HH Pandya,2016-2023,right-hand bat,allrounder,India,71,52.0,1518.0,113.28,33.73,7.0,0.0,9.0,115.0,58.0,7,51.98196585266308,216.85714285714286,29.192307692307693,348.0,22.92490118577075,460.0,30.303030303030305
931581,RR Pant,2018-2022,left-hand bat,wicketkeeper batter,India,30,26.0,865.0,106.65,34.6,1.0,1.0,5.0,90.0,26.0,4,52.24906194690266,216.25,33.26923076923077,156.0,18.034682080924856,360.0,41.61849710982659
24598,EJG Morgan,2006-2022,left-hand bat,middle-order batter,England,248,230.0,7701.0,91.16,39.29,34.0,14.0,47.0,654.0,220.0,16,54.91263165963971,481.3125,33.482608695652175,1320.0,17.140631086871835,2616.0,33.96961433580054
244497,AU Rashid,2009-2023,right-hand bat,bowler,England,122,56.0,703.0,100.42,18.5,18.0,0.0,1.0,71.0,10.0,14,31.24402959973091,50.214285714285715,12.553571428571429,60.0,8.534850640113797,284.0,40.39829302987198
303669,JE Root,2013-2022,right-hand bat,top-order batter,England,158,147.0,6207.0,86.93,50.05,23.0,16.0,36.0,496.0,46.0,9,63.52528106292889,689.6666666666666,42.224489795918366,276.0,4.44659255679072,1984.0,31.963911712582565
298438,JJ Roy,2015-2023,right-hand bat,opening batter,England,113,107.0,4116.0,105.97,39.57,3.0,11.0,21.0,489.0,80.0,8,57.62309880445238,514.5,38.467289719626166,480.0,11.661807580174926,1956.0,47.521865889212826
311158,BA Stokes,2011-2022,left-hand bat,allrounder,England,105,90.0,2924.0,95.08,38.98,15.0,3.0,21.0,238.0,88.0,11,55.29193495449798,265.8181818181818,32.48888888888889,528.0,18.057455540355676,952.0,32.55813953488372
308251,DJ Willey,2015-2023,left-hand bat,bowling allrounder,England,64,37.0,538.0,89.36,24.45,15.0,0.0,2.0,46.0,15.0,8,38.39472805553115,67.25,14.54054054054054,90.0,16.728624535315987,184.0,34.20074349442379
